iter	Logloss	F1:use_weights=true	F1:use_weights=false	BalancedAccuracy:use_weights=true	BalancedAccuracy:use_weights=false
41	0.308094931	0.8943900214	0.6274872744	0.8651204644	0.8651204644
42	0.308087439	0.8943540344	0.6273421235	0.8650607059	0.8650607059
43	0.3078286915	0.8939173383	0.6267345051	0.8646071874	0.8646071874
44	0.307759738	0.8931511845	0.6259541985	0.8638794261	0.8638794261
45	0.3076613463	0.8935163941	0.6262719704	0.8642134275	0.8642134275
46	0.3075091728	0.8935883424	0.626561777	0.8643329446	0.8643329446
47	0.3074596931	0.8935163941	0.6262719704	0.8642134275	0.8642134275
48	0.3072097119	0.8936655705	0.6257215424	0.8641888773	0.8641888773
49	0.3071597108	0.8937374897	0.626010626	0.8643083945	0.8643083945
50	0.3070863631	0.8917305867	0.6237006237	0.8623395949	0.8623395949
51	0.3070228652	0.8927916453	0.6245095777	0.8632818404	0.8632818404
52	0.3065851747	0.8928994766	0.6249422633	0.8634611161	0.8634611161
53	0.3065661626	0.8928994766	0.6249422633	0.8634611161	0.8634611161
54	0.3064949715	0.8925340458	0.6246246246	0.8631271148	0.8631271148
55	0.3064705955	0.8921324327	0.6241626242	0.8627333548	0.8627333548
56	0.3060225565	0.89180246	0.6239889069	0.8624591121	0.8624591121
57	0.3054216129	0.8921260333	0.6252894859	0.8629969393	0.8629969393
58	0.3054019563	0.8921260333	0.6252894859	0.8629969393	0.8629969393
59	0.3053659298	0.8921979704	0.62557924	0.8631164564	0.8631164564
60	0.3053028131	0.8923778638	0.6263048017	0.8634152493	0.8634152493
61	0.30476481	0.8931398759	0.628225994	0.864406595	0.864406595
62	0.3045855952	0.8931398759	0.628225994	0.864406595	0.864406595
63	0.3045649398	0.8931398759	0.628225994	0.864406595	0.864406595
64	0.3043542408	0.8932119232	0.6285182601	0.8645261121	0.8645261121
65	0.3041542546	0.8927980729	0.630348375	0.864659521	0.864659521
66	0.3041326875	0.8929423893	0.6309384507	0.8648985553	0.8648985553
67	0.3038240335	0.8928702253	0.6306432749	0.8647790382	0.8647790382
68	0.3035042354	0.8932367668	0.6309635173	0.8651130395	0.8651130395
69	0.3034345064	0.8932006863	0.6308159925	0.8650532809	0.8650532809
70	0.3027915565	0.8933144803	0.6301050175	0.8649689722	0.8649689722
71	0.3026617199	0.8931702575	0.62951737	0.8647299379	0.8647299379
72	0.3023382263	0.8929900445	0.6287843503	0.8644311451	0.8644311451
73	0.3018437817	0.8929482042	0.6297852474	0.8646349709	0.8646349709
74	0.3009189485	0.8939691222	0.6316035531	0.8657810422	0.8657810422
75	0.3007338404	0.8945154254	0.6326626111	0.8664138364	0.8664138364
76	0.3006674596	0.8945515319	0.6328106717	0.866473595	0.866473595
77	0.3004355298	0.8945876414	0.6329588015	0.8665333535	0.8665333535
78	0.2993390564	0.8955675878	0.6358082707	0.8678832507	0.8678832507
79	0.2993027433	0.895165789	0.6353383459	0.8674894908	0.8674894908
80	0.2988903801	0.8956437504	0.6349355217	0.8677391834	0.8677391834
81	0.2968119863	0.8977224738	0.6364061769	0.8695639157	0.8695639157
82	0.2962237513	0.8979330019	0.640850059	0.8707132204	0.8707132204
83	0.2960946525	0.8979330019	0.640850059	0.8707132204	0.8707132204
84	0.296088657	0.8979692508	0.6410014171	0.870772979	0.870772979
85	0.2958680571	0.8976793416	0.6397925507	0.8702949104	0.8702949104
86	0.295800665	0.8976431162	0.6396417629	0.8702351518	0.8702351518
87	0.2957957154	0.8984080641	0.6404335533	0.870962913	0.870962913
88	0.2956124009	0.8988445401	0.6410558567	0.8714164315	0.8714164315
89	0.2954886313	0.8983718331	0.6402826855	0.8709031545	0.8709031545
90	0.2952654596	0.8980800545	0.6402640264	0.8706886703	0.8706886703
91	0.2952654423	0.8983718331	0.6402826855	0.8709031545	0.8709031545
92	0.2951493085	0.8983718331	0.6402826855	0.8709031545	0.8709031545
93	0.2951493011	0.8983718331	0.6402826855	0.8709031545	0.8709031545
94	0.2950519104	0.897898928	0.6395102425	0.8703898774	0.8703898774
95	0.2950480102	0.897898928	0.6395102425	0.8703898774	0.8703898774
96	0.2950445034	0.897898928	0.6395102425	0.8703898774	0.8703898774
97	0.2938834728	0.8999351143	0.6420160151	0.8724184355	0.8724184355
98	0.2938066471	0.9002256618	0.6420334196	0.8726329197	0.8726329197
99	0.2938053564	0.9002256618	0.6420334196	0.8726329197	0.8726329197
